N1108,DE,ALTERADO,PON,obs,PORTAS OCUPADAS,PORTAS TOTAL,ESTADO,MUNICIPIO,LOCALIDADE,TIPOLOCAL,LONGITUDE,LATITUDE,NOMECOMPLETO,STATUS,SISTEMADELOCAIS,DATADECRIACAO,DATADEATIVACAO,DATAPRIMEIROCLIENTE,DATASUBSTITUICAO,FINALIDADE,PROPRIEDADE,NUMEROLOTE,LOCALREFERENCIA,LOGRADOUROCCE,IDLOGRADOUROCCE,BAIRROCCE,IDBAIRROCCE,LOCALIDADECCE,MUNICIPIOCCE,ESTADOCCE,CEPCCE,CODLOGRADOUROGIS,LOGRADOUROGIS,FIDGTECH,NOMEGTECH,DESIGNACAODOFORNECEDOR,COMPRIMENTOMAXDROP,LOCALIDADECTO,STATUSCERTIFICACAO,PATRIMONIO,LOCALDEINSTALACAO
CTO ???,CEO-CMP-00017,CTO ???,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D0003,CTO-CMP-00001,,,ok,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184149","-22,65354",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00001,EXISTENTE,Algar Telecom,"44699,62985",,2/16/2023,,,FRANQUEADO,14,,RUA PAULO AZEVEDO,396390,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP;CMP,,,
D0005,CTO-CMP-00002,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184553","-22,652772",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00002,EXISTENTE,Algar Telecom,"44699,63058",,44950,,,FRANQUEADO,56,,RUA JOAO ANTONIO DA SILVA,395621,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0011,CTO-CMP-00003,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185387","-22,65285",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00003,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,47,,RUA REINALDO BALLONI,396419,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0014,CTO-CMP-00004,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,186071","-22,652584",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00004,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,68,,RUA JOAO TONUSSI,395630,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0017,CTO-CMP-00005,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185667","-22,651786",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00005,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,2025,,RUA SANTA GERTRUDES,395365,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0020,CTO-CMP-00006,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18665","-22,652364",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00006,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,45,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0024,CTO-CMP-00007,,,ok,2,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,186115","-22,651357",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00007,EXISTENTE,Algar Telecom,"44699,63058",,44970,,,FRANQUEADO,1989,,RUA SANTA GERTRUDES,395365,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0026,CTO-CMP-00008,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185676","-22,650765",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00008,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,10,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0035,CTO-CMP-00009,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,183567","-22,648722",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00009,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,300,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
